#
# Time from: Thu Feb  2 03:03:53 2017
# To convert to astronomical time since 1/1/1970 add 1486022633 seconds.
#
# time LaserCaseTAct GreenPdLvlFlt GreenPdLvlAct TecH1SetTemp TecH1ActTemp TecH2SetTemp TecH2ActTemp
#
0.000094 42.5679 29.8381 29.8656 13.2494 13.2507 8.49959 8.49575
0.000168 42.5918 29.8855 29.8166 6.2488 13.2481 8.49959 8.49575
0.000236 42.5679 29.8319 29.7922 6.2488 13.1675 8.49959 8.49703
0.000306 42.5918 29.8671 29.4494 6.2488 12.9871 8.49959 8.49575
0.000376 42.5918 29.783 28.7885 6.2488 12.758 8.49959 8.49831
0.000443 42.5918 29.8595 29.7187 6.2488 12.5495 8.49959 8.49831
0.000513 42.5918 29.8901 30.7224 6.2488 12.3409 8.49959 8.49959
0.000579 42.5679 29.8472 29.7677 6.2488 12.1579 8.49959 8.50215
0.000648 42.5679 29.7723 29.6453 6.2488 11.9877 8.49959 8.50215
0.000716 42.5918 29.8702 29.6698 6.2488 11.8316 8.49959 8.50471
0.000782 42.5918 29.835 29.6698 6.2488 11.6921 8.49959 8.50471
0.000851 42.5918 29.7218 29.2291 6.2488 11.5616 8.49959 8.50599
0.000917 42.5679 29.7509 29.7677 6.2488 11.4401 8.49959 8.50599
0.000985 42.5918 29.7661 29.327 6.2488 11.33 8.49959 8.50599
0.001051 42.5918 29.7095 30.6 6.2488 11.2238 8.49959 8.50727
0.001119 42.5918 29.6575 29.7922 6.2488 11.124 8.49959 8.50727
0.001186 42.5918 29.6973 29.9146 6.2488 11.0332 8.49959 8.50854
0.001254 42.5918 29.6698 29.5963 6.2488 10.9474 8.49959 8.50854
0.001320 42.5918 29.6453 30.1349 6.2488 10.8681 8.49959 8.50854
0.001387 42.5918 29.6193 30.0614 6.2488 10.7913 8.49959 8.5111
0.001453 42.5679 29.5734 29.0333 6.2488 10.7171 8.49959 8.50854
0.001520 42.5918 29.5611 29.327 6.2488 10.648 8.49959 8.5111
0.001586 42.5679 29.4097 29.4739 6.2488 10.584 8.49959 8.51366
0.001654 42.5918 29.4938 29.2781 6.2488 10.5175 8.49959 8.50982
0.001723 42.5918 29.4357 29.1802 6.2488 10.4573 8.49959 8.51494
0.001790 42.5918 29.428 29.4005 6.2488 10.3959 8.49959 8.51366
0.001858 42.5679 29.4341 28.6416 6.2488 10.3396 8.49959 8.51494
0.001924 42.5679 29.3332 29.9635 6.2488 10.2872 8.49959 8.51622
0.001992 42.5918 29.2873 29.1067 6.2488 10.2334 8.49959 8.5175
0.002059 42.5918 29.2184 29.7922 6.2488 10.1822 8.49959 8.5175
0.002124 42.5918 29.1465 28.6661 6.2488 10.1323 8.49959 8.52006
0.002191 42.5918 29.2031 29.1557 6.2488 10.0837 8.49959 8.52134
0.002258 42.5918 29.1832 29.1557 6.2488 10.0364 8.49959 8.52006
0.002327 42.5679 28.9935 28.6416 6.2488 9.98902 8.49959 8.52518
0.002395 42.5679 29.0149 29.0578 6.2488 9.94296 8.49959 8.52518
0.002462 42.5679 29.0042 29.1557 6.2488 9.89945 8.49959 8.52774
0.002531 42.5918 28.9736 28.8864 6.2488 9.85467 8.49959 8.52902
0.002597 42.5918 28.8803 29.1557 6.2488 9.81116 8.49959 8.5303
0.002664 42.5918 28.8329 28.9354 6.2488 9.77021 8.49959 8.53158
0.002731 42.5918 28.7579 27.7603 6.2488 9.73054 8.49959 8.53414
0.002799 42.5679 28.7074 28.8619 6.2488 9.68704 8.49959 8.53414
0.002866 42.5679 28.6416 29.1802 6.2488 9.64865 8.49959 8.53669
0.002933 42.5918 28.7089 28.5926 6.2488 9.61027 8.49959 8.53669
0.002999 42.5918 28.5452 27.9317 6.2488 9.57316 8.49959 8.53926
0.003067 42.5918 28.4871 28.5926 6.2488 9.53477 8.49959 8.54181
0.003135 42.5918 28.5146 28.201 6.2488 9.49638 8.49959 8.54309
0.003202 42.5918 28.409 28.0786 6.2488 9.45927 8.49959 8.54565
0.003271 42.5918 28.3815 28.2254 6.2488 9.42217 8.49959 8.54565
0.003337 42.5679 28.2484 28.2744 6.2488 9.3889 8.49959 8.54821
0.003406 42.5918 28.2713 28.201 6.2488 9.34923 8.49959 8.55205
0.003472 42.5918 28.2101 27.8827 6.2488 9.3134 8.49959 8.55205
0.003540 42.5679 28.1489 27.8338 6.2488 9.28013 8.49959 8.55333
0.003606 42.5918 28.0832 28.0296 6.2488 9.24814 8.49959 8.55461
0.003673 42.5918 27.9975 27.8827 6.2488 9.21359 8.49959 8.55333
0.003742 42.5918 27.872 27.9317 6.2488 9.17777 8.49959 8.55205
0.003809 42.5918 27.7343 27.8582 6.2488 9.14833 8.49959 8.55205
0.003878 42.5918 27.8506 27.6379 6.2488 9.11379 8.49959 8.55077
0.003944 42.5679 27.7435 27.9806 6.2488 9.08308 8.49959 8.55205
0.004012 42.5918 27.6165 28.201 6.2488 9.05109 8.49959 8.55077
0.004081 42.5918 27.5186 27.4176 6.2488 9.01654 8.49959 8.55205
0.004148 42.5679 27.5048 26.6587 6.2488 8.98583 8.49959 8.55205
0.004215 42.5918 27.3564 27.2707 6.2488 8.95768 8.49959 8.55333
0.004283 42.5918 27.4084 27.491 6.2488 8.92441 8.49959 8.55205
0.004351 42.5918 27.338 27.1973 6.2488 8.89498 8.49959 8.55333
0.004418 42.5679 27.2401 27.3442 6.2488 8.86299 8.49959 8.55077
0.004486 42.5679 27.2799 27.2462 6.2488 8.83484 8.49959 8.55461
0.004555 42.5918 27.1391 27.3931 6.2488 8.80285 8.49959 8.55461
0.004622 42.5918 27.1697 26.9035 6.2488 8.77726 8.49959 8.55589
0.004689 42.5918 27.0473 27.2707 6.2488 8.74527 8.49959 8.55589
0.004755 42.5918 26.9938 26.4384 6.2488 8.7184 8.49959 8.55717
0.004821 42.5918 27.0152 27.0504 6.2488 8.68897 8.49959 8.55717
0.004888 42.5918 26.9387 26.7811 6.2488 8.66081 8.49959 8.55845
0.004954 42.5918 26.8913 27.0259 6.2488 8.63522 8.49959 8.55845
0.005021 42.5679 26.8637 26.5608 6.2488 8.61091 8.49959 8.55973
0.005088 42.5918 26.7582 26.7077 6.2488 8.5802 8.49959 8.56357
0.005156 42.5918 26.6434 26.4874 6.2488 8.55333 8.49959 8.56101
0.005224 42.5918 26.5853 26.6342 6.2488 8.52646 8.49959 8.56229
0.005293 42.5918 26.5501 26.6587 6.2488 8.49831 8.49959 8.56613
0.005364 42.5679 26.5593 26.6098 6.2488 8.47144 8.49959 8.56485
0.005431 42.5918 26.4384 25.8754 6.2488 8.44457 8.49959 8.56741
0.005497 42.5679 26.4613 26.0467 6.2488 8.41897 8.49959 8.56869
0.005564 42.5918 26.4093 26.2426 6.2488 8.39338 8.49959 8.56996
0.005631 42.5918 26.3282 26.2426 6.2488 8.36651 8.49959 8.56996
0.005699 42.5918 26.2563 26.1936 6.2488 8.34476 8.49959 8.5738
0.005773 42.5918 26.1416 25.9488 6.34989 8.31917 8.49959 8.57124
0.005840 42.5918 26.2808 26.2181 6.34989 8.29358 8.49959 8.57252
0.005907 42.5679 26.1462 26.0467 6.34989 8.27182 8.49959 8.5738
0.005974 42.5918 26.0008 26.0957 6.34989 8.25135 8.49959 8.57508
0.006041 42.5918 26.0008 26.879 6.34989 8.2296 8.49959 8.57764
0.006116 42.5918 25.9595 25.9488 6.4497 8.20784 8.49959 8.57892
0.006184 42.5679 26.0085 26.1446 6.4497 8.18737 8.49959 8.57892
0.006251 42.5679 25.8631 26.5853 6.4497 8.16818 8.49959 8.57892
0.006319 42.5918 25.8539 25.5571 6.4497 8.1477 8.49959 8.57892
0.006385 42.5918 25.805 25.3613 6.4497 8.13107 8.49959 8.58148
0.006460 42.5918 25.7866 25.8264 6.5495 8.11315 8.49959 8.58148
0.006528 42.5918 25.7392 25.4102 6.5495 8.09396 8.49959 8.58276
0.006595 42.5679 25.7009 25.655 6.5495 8.07989 8.49959 8.58532
0.006661 42.5918 25.6933 25.2634 6.5495 8.06197 8.49959 8.5866
